Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_10,CPU_TEMP_11,CPU_TEMP_12,CPU_TEMP_13,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1739357477503,4056,4056,4056,4056,4056,4056,4056,4056,44.26012420654297,44.53355407714844,44.912498474121094,44.226139068603516,44.716373443603516,43.85020446777344,44.56048583984375,44.565826416015625,44.412132263183594,44.41789245605469,44.639625549316406,44.48169708251953,44.57465744018555,44.94236755371094,NaN,0,0,0,0,0,0,0,9.650965690612793,17179869184,0,9632382976,0
204,1739357477504,4056,4056,4056,4056,4056,4056,4056,4056,44.26012420654297,44.53355407714844,44.912498474121094,44.226139068603516,44.716373443603516,43.85020446777344,44.56048583984375,44.565826416015625,44.412132263183594,44.41789245605469,44.639625549316406,44.48169708251953,44.57465744018555,44.94236755371094,0,100,NaN,NaN,0,NaN,100,NaN,9.650965690612793,17179869184,0,9632382976,0
200,1739357477709,4056,4056,4056,4056,4056,4056,4056,4056,44.63337326049805,44.83721923828125,45.11920166015625,44.488563537597656,44.971641540527344,44.05226516723633,44.9216423034668,44.90337371826172,44.71186065673828,44.781280517578125,44.95630645751953,44.77742004394531,44.82212448120117,45.1965217590332,35,26.3157901763916,14.285715103149414,14.285715103149414,14.285715103149414,9.523809432983398,5,9.523809432983398,9.650965690612793,17179869184,0,9632382976,0
201,1739357477910,4056,4056,4056,4056,4056,4056,4056,4056,44.63337326049805,44.83721923828125,45.11920166015625,44.488563537597656,44.971641540527344,44.05226516723633,44.9216423034668,44.90337371826172,44.71186065673828,44.781280517578125,44.95630645751953,44.77742004394531,44.82212448120117,45.1965217590332,35,40,25,15.789472579956055,15.789472579956055,15.000000953674316,23.809524536132813,5.263157844543457,9.650965690612793,17179869184,0,9632382976,0
204,1739357478112,4056,4056,4056,4056,4056,4056,4056,4056,44.63337326049805,44.83721923828125,45.11920166015625,44.488563537597656,44.971641540527344,44.05226516723633,44.9216423034668,44.90337371826172,44.71186065673828,44.781280517578125,44.95630645751953,44.77742004394531,44.82212448120117,45.1965217590332,20,23.809524536132813,5.263157844543457,13.636363983154297,15.000000953674316,15.000000953674316,5.263157844543457,9.523809432983398,9.620872497558594,17179869184,0,9632382976,0
202,1739357478317,4056,4056,4056,4056,4056,4056,4056,4056,44.63337326049805,44.83721923828125,45.11920166015625,44.488563537597656,44.971641540527344,44.05226516723633,44.9216423034668,44.90337371826172,44.71186065673828,44.781280517578125,44.95630645751953,44.77742004394531,44.82212448120117,45.1965217590332,10.526315689086914,10.526315689086914,4.761904716491699,0,15.000000953674316,10.526315689086914,14.285715103149414,5,9.620872497558594,17179869184,0,9703145472,0
204,1739357478519,4056,4056,4056,4056,4056,4056,4056,4056,44.63337326049805,44.83721923828125,45.11920166015625,44.488563537597656,44.971641540527344,44.05226516723633,44.9216423034668,44.90337371826172,44.71186065673828,44.781280517578125,44.95630645751953,44.77742004394531,44.82212448120117,45.1965217590332,15.000000953674316,15.000000953674316,5,0,15.000000953674316,19.047618865966797,10,0,9.620872497558594,17179869184,0,9728770048,0
200,1739357478724,4056,4056,4056,4056,4056,4056,4056,4056,44.735755920410156,44.89439010620117,45.237728118896484,44.64789962768555,45.11601257324219,44.13147735595703,45.00398254394531,44.96756362915039,44.781639099121094,44.833797454833984,45.01450729370117,44.85466003417969,44.939125061035156,45.31544494628906,15.000000953674316,14.285715103149414,5,5,20,14.285715103149414,25,9.523809432983398,9.620872497558594,17179869184,0,9716072448,0
203,1739357478925,4056,4056,4056,4056,4056,4056,4056,4056,44.735755920410156,44.89439010620117,45.237728118896484,44.64789962768555,45.11601257324219,44.13147735595703,45.00398254394531,44.96756362915039,44.781639099121094,44.833797454833984,45.01450729370117,44.85466003417969,44.939125061035156,45.31544494628906,15.000000953674316,10.526315689086914,9.523809432983398,0,19.047618865966797,10.526315689086914,30.000001907348633,5,9.620872497558594,17179869184,0,9716072448,0
204,1739357479128,4056,4056,4056,4056,4056,4056,4056,4056,44.735755920410156,44.89439010620117,45.237728118896484,44.64789962768555,45.11601257324219,44.13147735595703,45.00398254394531,44.96756362915039,44.781639099121094,44.833797454833984,45.01450729370117,44.85466003417969,44.939125061035156,45.31544494628906,15.000000953674316,9.523809432983398,0,5,10.526315689086914,15.000000953674316,5,5,10.177098274230957,17179869184,0,9716072448,0
