Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1742286727612,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,11.3289794921875,14.493270874023438,13.964485168457031,9.262802124023438,51.620094299316406,12.301483154296875,16.2593994140625,4.197898864746094,18.053932189941406,5.836341857910156,7.227546691894531,5.941093444824219,2493.36865234375,4096,960,60,0,31249.476989746094,28983.70977783203,22.9932861328125,34156867584,10236112896,24883961856,2851762176
200,1742286727612,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,7.240081787109375,15.060920715332031,15.359550476074219,5.288688659667969,44.67707824707031,16.801132202148438,17.440048217773438,15.176002502441406,8.461814880371094,16.484764099121094,14.020675659179688,11.163497924804688,2493.4180908203125,4096,960,60,0,31250.527770996094,28984.089965820313,22.9932861328125,34156867584,10236112896,24885653504,2851762176
198,1742286727814,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,8.86700439453125,8.422706604003906,13.604240417480469,5.1328277587890625,12.003311157226563,9.146286010742188,9.333061218261719,12.494972229003906,9.812835693359375,11.648086547851563,7.332450866699219,4.3250274658203125,2493.7404174804688,4096,960,60,0,31251.425842285156,28984.662170410156,22.9932861328125,34156867584,10236112896,24885010432,2850402304
199,1742286728013,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,12.141464233398438,7.135032653808594,17.402328491210938,3.1995849609375,21.94237518310547,9.864646911621094,20.936508178710938,3.6415252685546875,10.893264770507813,9.098320007324219,8.921516418457031,5.889717102050781,2494.0366821289063,4096,960,60,0,31252.0126953125,28984.98358154297,22.9932861328125,34156867584,10236112896,24887058432,2850111488
200,1742286728213,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,10.749061584472656,10.64080810546875,18.85491943359375,3.1571273803710938,15.913948059082031,6.20635986328125,10.350914001464844,5.35784912109375,7.676795959472656,2.5699310302734375,9.572486877441406,13.559745788574219,2494.3385620117188,4096,960,60,1,31252.964111328125,28985.63543701172,22.9932861328125,34156867584,10236112896,24886063104,2849050624
200,1742286728414,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,7.114997863769531,9.157333374023438,9.170181274414063,1.4662017822265625,15.592170715332031,6.484901428222656,13.137657165527344,1.4732589721679688,7.29705810546875,9.608772277832031,5.2283172607421875,2.1707229614257813,2494.6641845703125,4096,960,60,0,31255.958923339844,28988.355712890625,22.9947509765625,34156867584,10236112896,24888573952,2848673792
199,1742286728614,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,10.176528930664063,3.654632568359375,10.535987854003906,4.546257019042969,11.377372741699219,5.9808502197265625,12.254905700683594,3.2160263061523438,11.652717590332031,2.0037765502929688,5.4686431884765625,3.8217544555664063,2494.9771728515625,4096,960,60,0,31257.440185546875,28989.643676757813,22.9947509765625,34156867584,10236112896,24888406016,2848673792
200,1742286728815,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,26.679405212402344,11.306236267089844,18.100112915039063,6.7517242431640625,32.697242736816406,13.704971313476563,14.669204711914063,8.454856872558594,15.514389038085938,8.402236938476563,19.343544006347656,8.390312194824219,2495.3139038085938,4096,960,60,1,31261.303161621094,28993.111328125,23.006591796875,34156867584,10236112896,24887742464,2849308672
200,1742286729015,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,12.275054931640625,5.394371032714844,14.3099365234375,1.378143310546875,14.179000854492188,5.186241149902344,9.56085205078125,4.981170654296875,8.294136047363281,2.2507705688476563,5.237358093261719,8.294235229492188,2495.6503295898438,4096,960,60,0,31263.918090820313,28995.388732910156,23.00927734375,34156867584,10236112896,24890839040,2849132544
200,1742286729216,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,30.753089904785156,7.381324768066406,21.64995574951172,7.3660888671875,24.662025451660156,10.062957763671875,18.101280212402344,4.2951812744140625,16.295181274414063,10.453987121582031,13.396965026855469,10.771446228027344,2495.9913330078125,4096,960,60,0,31267.12664794922,28998.273376464844,23.01275634765625,34156867584,10236112896,24888827904,2847879168
