Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740525273578,9467.347106933594,3416.6666666666665,1,0.08125000000000004,9467.347106933594,3416.6666666666665,1,0.08125000000000004,19073.86427307129,3416.6666666666665,1,0.08125000000000004,19073.86427307129,3416.6666666666665,1,0.08125000000000004,8767.118560791016,3416.6666666666665,1,0.08125000000000004,8767.118560791016,3416.6666666666665,1,0.08125000000000004,18988.32421875,5125,0,0.08125000000000004,18988.32421875,5125,0,0.08125000000000004,178956.62760925293,3448,3360,5039,3622,4467,3964,3472,3370,4117,4398,3359,3359,3530,3705,3472,4108,0,0,0,0,0,0,0,0,0,0,0,0,21.7391300201416,0,4.34782600402832,0,16001761280,4294963200,3688812544,754499584
199,1740525273578,9467.353973388672,3416.6666666666665,1,0.08125000000000004,9467.353973388672,3416.6666666666665,1,0.08125000000000004,19073.86444091797,3416.6666666666665,1,0.08125000000000004,19073.86444091797,5125,0,0.08749999999999991,8767.118774414063,3416.6666666666665,1,0.08749999999999991,8767.118774414063,3416.6666666666665,1,0.08749999999999991,18988.335205078125,5125,0,0.08749999999999991,18988.335205078125,5125,0,0.08749999999999991,178956.64776611328,3448,3360,5039,3622,4467,3964,3472,3370,4117,4398,3359,3359,3530,3705,3472,4108,0,0,0,0,0,0,0,0,0,0,0,0,21.7391300201416,0,4.34782600402832,0,16001761280,4294963200,3688812544,754499584
199,1740525273778,9467.378005981445,3416.6666666666665,1,0.06874999999999987,9467.378005981445,3416.6666666666665,1,0.06874999999999987,19073.913986206055,3416.6666666666665,1,0.06874999999999987,19073.913986206055,3416.6666666666665,1,0.06874999999999987,8767.145629882813,3416.6666666666665,1,0.06874999999999987,8767.145629882813,3416.6666666666665,1,0.06874999999999987,18989.107131958008,5125,0,0.06874999999999987,18989.107131958008,5125,0,0.06874999999999987,178959.43992614746,3448,3360,5039,3622,4467,3964,3472,3370,4117,4398,3359,3359,3530,3705,3472,4108,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,16001761280,4294963200,3689070592,754499584
199,1740525273978,9467.393096923828,3416.6666666666665,1,0.07499999999999996,9467.393096923828,3416.6666666666665,1,0.07499999999999996,19073.934539794922,3416.6666666666665,1,0.07499999999999996,19073.934539794922,3416.6666666666665,1,0.07499999999999996,8767.159454345703,3416.6666666666665,1,0.07499999999999996,8767.159454345703,3416.6666666666665,1,0.07499999999999996,18989.87614440918,5125,0,0.07499999999999996,18989.87614440918,5125,0,0.07499999999999996,178962.17910766602,3448,3360,5039,3622,4467,3964,3472,3370,4117,4398,3359,3359,3530,3705,3472,4108,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,16001761280,4294963200,3689070592,754499584
199,1740525274178,9467.408706665039,3416.6666666666665,1,0.06874999999999987,9467.408706665039,3416.6666666666665,1,0.06874999999999987,19073.995483398438,3416.6666666666665,1,0.06874999999999987,19073.995483398438,3416.6666666666665,1,0.06874999999999987,8767.205169677734,3416.6666666666665,1,0.06874999999999987,8767.205169677734,3416.6666666666665,1,0.06874999999999987,18990.675491333008,5125,0,0.06874999999999987,18990.675491333008,5125,0,0.06874999999999987,178965.18896484375,3448,3360,5039,3622,4467,3964,3472,3370,4117,4398,3359,3359,3530,3705,3472,4108,0,0,0,0,4.761904716491699,0,0,0,0,0,0,0,100,4.761904716491699,0,0,16001761280,4294963200,3690618880,754499584
199,1740525274378,9467.424713134766,3416.6666666666665,1,0.0625,9467.4248046875,3416.6666666666665,1,0.0625,19074.01106262207,3416.6666666666665,1,0.0625,19074.01106262207,3416.6666666666665,1,0.0625,8767.23030090332,3416.6666666666665,1,0.0625,8767.23030090332,3416.6666666666665,1,0.0625,18991.457809448242,5125,0,0.0625,18991.457809448242,5125,0,0.0625,178967.9524383545,3448,3360,5039,3622,4467,3964,3472,3370,4117,4398,3359,3359,3530,3705,3472,4108,0,0,0,0,4.761904716491699,0,0,0,0,0,0,0,100,4.761904716491699,0,0,16001761280,4294963200,3690618880,754499584
200,1740525274578,9467.438385009766,3416.6666666666665,1,0.0625,9467.438385009766,3416.6666666666665,1,0.0625,19074.026443481445,3416.6666666666665,1,0.0625,19074.026443481445,3416.6666666666665,1,0.0625,8767.243911743164,3416.6666666666665,1,0.0625,8767.243911743164,3416.6666666666665,1,0.0625,18992.488555908203,5125,0,0.0625,18992.488555908203,5125,0,0.0625,178970.70503234863,3448,3360,5039,3622,4467,3964,3472,3370,4117,4398,3359,3359,3530,3705,3472,4108,0,0,0,0,0,0,0,0,0,0,0,0,50,2.857142925262451,0,0,16001761280,4294963200,3690618880,754499584
199,1740525274778,9467.663665771484,3316.6666666666665,1,0.043749999999999956,9467.663665771484,3316.6666666666665,1,0.26875000000000004,19074.45442199707,3316.6666666666665,1,0.26875000000000004,19074.45442199707,3316.6666666666665,1,0.26875000000000004,8767.261611938477,3316.6666666666665,1,0.26875000000000004,8767.261611938477,3316.6666666666665,1,0.26875000000000004,18993.326919555664,4975,0,0.26875000000000004,18993.326919555664,4975,0,0.26875000000000004,178973.6523590088,3448,3360,5039,3622,4467,3964,3472,3370,4117,4398,3359,3359,3530,3705,3472,4108,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,16001761280,4294963200,3431108608,754499584
199,1740525274978,9467.843551635742,3283.3333333333335,1,0.28749999999999987,9467.843551635742,3283.3333333333335,1,0.28749999999999987,19075.115432739258,3283.3333333333335,1,0.28749999999999987,19075.115432739258,3283.3333333333335,1,0.28749999999999987,8767.55142211914,3283.3333333333335,1,0.28749999999999987,8767.55142211914,3283.3333333333335,1,0.28749999999999987,18993.753372192383,4925,0,0.28749999999999987,18993.753372192383,4925,0,0.28749999999999987,178976.72567749023,3448,3360,5039,3622,4467,3964,3472,3370,4117,4398,3359,3359,3530,3705,3472,4108,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,16001761280,4294963200,3527962624,754499584
199,1740525275178,9468.302780151367,3333.3333333333335,1,0.125,9468.304962158203,3333.3333333333335,1,0.125,19076.480575561523,3333.3333333333335,1,0.125,19076.480575561523,3333.3333333333335,1,0.125,8767.964706420898,3333.3333333333335,1,0.125,8767.964706420898,3333.3333333333335,1,0.125,18995.024658203125,5000,0,0.125,18995.024658203125,5000,0,0.125,178981.11456298828,3448,3360,5039,3622,4467,3964,3472,3370,4117,4398,3359,3359,3530,3705,3472,4108,7.894736289978027,0,7.692307949066162,0,2.5641026496887207,0,2.5,7.692307949066162,37.5,5,15.000000953674316,0,28.205129623413086,7.317072868347168,2.5,0,16001761280,4294963200,3559936000,754499584
