Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740524847503,9356.799880981445,3416.6666666666665,1,0.07499999999999996,9356.799880981445,3416.6666666666665,1,0.07499999999999996,18750.313018798828,5125,0,0.07499999999999996,18750.313018798828,5125,0,0.07499999999999996,8672.436111450195,3416.6666666666665,1,0.07499999999999996,8672.436111450195,3416.6666666666665,1,0.07499999999999996,18698.508590698242,5125,0,0.07499999999999996,18698.508590698242,5050,0,0.06874999999999987,176669.68028259277,3364,3436,400,3360,3359,400,400,3360,5040,400,5040,400,3445,400,5035,400,4.34782600402832,4.34782600402832,0,0,0,4.34782600402832,0,0,21.7391300201416,0,0,0,0,0,0,0,16001761280,4294963200,3683692544,754929664
200,1740524847503,9356.799880981445,3366.6666666666665,1,0.06874999999999987,9356.799880981445,3366.6666666666665,1,0.06874999999999987,18750.313018798828,5050,0,0.06874999999999987,18750.313018798828,5050,0,0.06874999999999987,8672.436111450195,3366.6666666666665,1,0.06874999999999987,8672.436111450195,3366.6666666666665,1,0.06874999999999987,18698.508590698242,5050,0,0.06874999999999987,18698.508590698242,5050,0,0.06874999999999987,176669.68028259277,3364,3436,400,3360,3359,400,400,3360,5040,400,5040,400,3445,400,5035,400,4.34782600402832,4.34782600402832,0,0,0,4.34782600402832,0,0,21.7391300201416,0,0,0,0,0,0,0,16001761280,4294963200,3683692544,754929664
199,1740524847703,9356.839401245117,3416.6666666666665,1,0.08749999999999991,9356.839401245117,3416.6666666666665,1,0.08749999999999991,18751.101348876953,5125,0,0.08749999999999991,18751.101348876953,5125,0,0.08749999999999991,8672.481338500977,3416.6666666666665,1,0.08749999999999991,8672.481338500977,3416.6666666666665,1,0.08749999999999991,18698.569946289063,3416.6666666666665,1,0.08749999999999991,18698.569946289063,3416.6666666666665,1,0.08749999999999991,176672.56924438477,3364,3436,400,3360,3359,400,400,3360,5040,400,5040,400,3445,400,5035,400,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,16001761280,4294963200,3683692544,754929664
199,1740524847903,9356.882888793945,3416.6666666666665,1,0.05624999999999991,9356.882888793945,3416.6666666666665,1,0.05624999999999991,18751.878189086914,5125,0,0.05624999999999991,18751.878189086914,5125,0,0.05624999999999991,8672.515167236328,3416.6666666666665,1,0.05624999999999991,8672.515167236328,3416.6666666666665,1,0.05624999999999991,18698.619094848633,3416.6666666666665,1,0.05624999999999991,18698.619094848633,3416.6666666666665,1,0.05624999999999991,176675.35954284668,3364,3436,400,3360,3359,400,400,3360,5040,400,5040,400,3445,400,5035,400,0,0,0,0,0,0,0,0,100,0,0,0,4.761904716491699,0,0,0,16001761280,4294963200,3683692544,754929664
199,1740524848103,9356.897872924805,3416.6666666666665,1,0.05624999999999991,9356.897872924805,3416.6666666666665,1,0.05624999999999991,18752.657012939453,5125,0,0.05624999999999991,18752.657012939453,5125,0,0.05624999999999991,8672.529907226563,3416.6666666666665,1,0.05624999999999991,8672.529907226563,3416.6666666666665,1,0.05624999999999991,18698.654388427734,5125,0,0.05624999999999991,18698.654388427734,5125,0,0.05624999999999991,176678.12251281738,3364,3436,400,3360,3359,400,400,3360,5040,400,5040,400,3445,400,5035,400,0,0,0,0,0,0,0,0,100,0,0,0,4.761904716491699,0,0,0,16001761280,4294963200,3683692544,754929664
199,1740524848303,9356.91374206543,3400,1,0.09375,9356.91374206543,3400,1,0.09375,18753.457260131836,5100,0,0.09375,18753.457260131836,5100,0,0.09375,8672.544418334961,3400,1,0.09375,8672.544494628906,3400,1,0.09375,18698.696548461914,3400,1,0.09375,18698.696548461914,3400,1,0.09375,176680.90432739258,3364,3436,400,3360,3359,400,400,3360,5040,400,5040,400,3445,400,5035,400,0,0,0,0,0,0,0,0,90.47618865966797,0,0,0,0,0,0,0,16001761280,4294963200,3683692544,754929664
199,1740524848503,9357.982360839844,5025,0,0.09375,9357.982360839844,5025,0,0.09375,18753.512313842773,3350,1,0.09375,18753.512313842773,3350,1,0.09375,8672.56314086914,3350,1,0.09375,8672.56314086914,3350,1,0.09375,18698.725646972656,3350,1,0.09375,18698.725646972656,3350,1,0.09375,176683.6707458496,3364,3436,400,3360,3359,400,400,3360,5040,400,5040,400,3445,400,5035,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16001761280,4294963200,3684020224,754929664
199,1740524848703,9358.746994018555,4950,0,0.25624999999999987,9358.746994018555,4950,0,0.25,18753.81854248047,4950,0,0.25,18753.81854248047,4950,0,0.25,8672.578384399414,3300,1,0.25,8672.578384399414,3300,1,0.25,18699.10725402832,3300,1,0.25,18699.10725402832,3300,1,0.25,176686.63446044922,3364,3436,400,3360,3359,400,400,3360,5040,400,5040,400,3445,400,5035,400,5.882352828979492,0,0,0,0,0,0,5,5.263157844543457,0,0,0,0,0,4.761904716491699,0,16001761280,4294963200,3480461312,754929664
199,1740524848903,9359.069274902344,3283.3333333333335,1,0.29374999999999996,9359.069274902344,3283.3333333333335,1,0.29374999999999996,18754.315231323242,4925,0,0.29374999999999996,18754.315231323242,4925,0,0.29374999999999996,8672.825210571289,3283.3333333333335,1,0.29374999999999996,8672.825210571289,3283.3333333333335,1,0.29374999999999996,18699.579528808594,4925,0,0.29374999999999996,18699.579528808594,4925,0,0.29374999999999996,176689.7290802002,3364,3436,400,3360,3359,400,400,3360,5040,400,5040,400,3445,400,5035,400,0,14.285715103149414,15.000000953674316,0,4.761904716491699,0,0,9.523809432983398,30.000001907348633,9.090909004211426,5,0,20,9.523809432983398,5,0,16001761280,4294963200,3575517184,754929664
199,1740524849103,9359.601318359375,4975,0,0.21875,9359.601318359375,4975,0,0.21875,18756.430206298828,4975,0,0.21875,18756.430206298828,4975,0,0.21875,8673.235977172852,3316.6666666666665,1,0.21875,8673.235977172852,3316.6666666666665,1,0.21875,18700.51170349121,4975,0,0.21875,18700.51170349121,4975,0,0.21875,176695.47273254395,3364,3436,400,3360,3359,400,400,3360,5040,400,5040,400,3445,400,5035,400,5.263157844543457,5.263157844543457,5.263157844543457,5.263157844543457,10,0,28.571430206298828,0,55,21.052631378173828,15.000000953674316,0,11.111111640930176,10,15.000000953674316,5,16001761280,4294963200,3612459008,754929664
