Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_10,CPU_TEMP_11,CPU_TEMP_12,CPU_TEMP_13,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP,SYSTEM_ENERGY (J),DIFF_SYSTEM_ENERGY (J),SYSTEM_POWER (W)
0,0,4056,4056,4056,4056,4056,4056,4056,4056,44.26012420654297,44.53355407714844,44.91249847412109,44.22613906860352,44.71637344360352,43.85020446777344,44.56048583984375,44.565826416015625,44.4121322631836,44.41789245605469,44.639625549316406,44.48169708251953,44.57465744018555,44.94236755371094,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.650965690612791,17179869184,0,9632382976,0,0.0,0.0,0.0
204,1,4056,4056,4056,4056,4056,4056,4056,4056,44.26012420654297,44.53355407714844,44.91249847412109,44.22613906860352,44.71637344360352,43.85020446777344,44.56048583984375,44.565826416015625,44.4121322631836,44.41789245605469,44.639625549316406,44.48169708251953,44.57465744018555,44.94236755371094,0.0,100.0,,,0.0,,100.0,,9.650965690612791,17179869184,0,9632382976,0,1.9687970008850093,1.9687970008850093,9.650965690612791
200,206,4056,4056,4056,4056,4056,4056,4056,4056,44.63337326049805,44.83721923828125,45.11920166015625,44.488563537597656,44.971641540527344,44.05226516723633,44.9216423034668,44.90337371826172,44.71186065673828,44.781280517578125,44.95630645751953,44.77742004394531,44.82212448120117,45.1965217590332,35.0,26.3157901763916,14.285715103149414,14.285715103149414,14.285715103149414,9.523809432983398,5.0,9.523809432983398,9.650965690612791,17179869184,0,9632382976,0,1.9301931381225583,-0.03860386276245098,-0.1930193138122549
201,407,4056,4056,4056,4056,4056,4056,4056,4056,44.63337326049805,44.83721923828125,45.11920166015625,44.488563537597656,44.971641540527344,44.05226516723633,44.9216423034668,44.90337371826172,44.71186065673828,44.781280517578125,44.95630645751953,44.77742004394531,44.82212448120117,45.1965217590332,35.0,40.0,25.0,15.789472579956056,15.789472579956056,15.000000953674316,23.80952453613281,5.263157844543457,9.650965690612791,17179869184,0,9632382976,0,1.939844103813171,0.009650965690612745,0.04801475467966539
204,609,4056,4056,4056,4056,4056,4056,4056,4056,44.63337326049805,44.83721923828125,45.11920166015625,44.488563537597656,44.971641540527344,44.05226516723633,44.9216423034668,44.90337371826172,44.71186065673828,44.781280517578125,44.95630645751953,44.77742004394531,44.82212448120117,45.1965217590332,20.0,23.80952453613281,5.263157844543457,13.636363983154297,15.000000953674316,15.000000953674316,5.263157844543457,9.523809432983398,9.620872497558594,17179869184,0,9632382976,0,1.962657989501953,0.022813885688781843,0.11183277298422473
202,814,4056,4056,4056,4056,4056,4056,4056,4056,44.63337326049805,44.83721923828125,45.11920166015625,44.488563537597656,44.971641540527344,44.05226516723633,44.9216423034668,44.90337371826172,44.71186065673828,44.781280517578125,44.95630645751953,44.77742004394531,44.82212448120117,45.1965217590332,10.526315689086914,10.526315689086914,4.761904716491699,0.0,15.000000953674316,10.526315689086914,14.285715103149414,5.0,9.620872497558594,17179869184,0,9703145472,0,1.9434162445068361,-0.019241744995116772,-0.09525616334216223
204,1016,4056,4056,4056,4056,4056,4056,4056,4056,44.63337326049805,44.83721923828125,45.11920166015625,44.488563537597656,44.971641540527344,44.05226516723633,44.9216423034668,44.90337371826172,44.71186065673828,44.781280517578125,44.95630645751953,44.77742004394531,44.82212448120117,45.1965217590332,15.000000953674316,15.000000953674316,5.0,0.0,15.000000953674316,19.0476188659668,10.0,0.0,9.620872497558594,17179869184,0,9728770048,0,1.962657989501953,0.019241744995116772,0.09432227938782732
200,1221,4056,4056,4056,4056,4056,4056,4056,4056,44.73575592041016,44.89439010620117,45.23772811889648,44.64789962768555,45.11601257324219,44.13147735595703,45.00398254394531,44.96756362915039,44.78163909912109,44.833797454833984,45.01450729370117,44.85466003417969,44.93912506103516,45.31544494628906,15.000000953674316,14.285715103149414,5.0,5.0,20.0,14.285715103149414,25.0,9.523809432983398,9.620872497558594,17179869184,0,9716072448,0,1.924174499511719,-0.03848348999023399,-0.19241744995116994
203,1422,4056,4056,4056,4056,4056,4056,4056,4056,44.73575592041016,44.89439010620117,45.23772811889648,44.64789962768555,45.11601257324219,44.13147735595703,45.00398254394531,44.96756362915039,44.78163909912109,44.833797454833984,45.01450729370117,44.85466003417969,44.93912506103516,45.31544494628906,15.000000953674316,10.526315689086914,9.523809432983398,0.0,19.0476188659668,10.526315689086914,30.00000190734864,5.0,9.620872497558594,17179869184,0,9716072448,0,1.9530371170043948,0.028862617492675824,0.1421803817373193
204,1625,4056,4056,4056,4056,4056,4056,4056,4056,44.73575592041016,44.89439010620117,45.23772811889648,44.64789962768555,45.11601257324219,44.13147735595703,45.00398254394531,44.96756362915039,44.78163909912109,44.833797454833984,45.01450729370117,44.85466003417969,44.93912506103516,45.31544494628906,15.000000953674316,9.523809432983398,0.0,5.0,10.526315689086914,15.000000953674316,5.0,5.0,10.177098274230955,17179869184,0,9716072448,0,2.0761280479431146,0.12309093093871981,0.6033869163662736
